2026-04-21 08:56:26,241 [INFO] __main__: Mission Tag: emoji_interaction_off_2026-04-21_08-56-26
2026-04-21 08:56:26,241 [INFO] __main__: HTTP Config Server running on port 8000 serving ../Interaction/SFL
2026-04-21 08:56:26,247 [INFO] __main__: ZMQ Server Online at 192.168.1.233
2026-04-21 08:56:28,281 [INFO] __main__: Starting Dispatcher logic to match Vicon coordinates...
2026-04-21 08:56:28,282 [INFO] dispatcher: Connecting to Vicon scanner at 192.168.1.39 required 3 markers...
2026-04-21 08:56:28,295 [INFO] dispatcher.vicon_scanner: Connecting to Vicon at 192.168.1.39:801 ...
2026-04-21 08:56:28,382 [INFO] dispatcher.vicon_scanner: Vicon connected. Collecting frames ...
2026-04-21 08:56:30,777 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 141)
2026-04-21 08:56:30,786 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 142)
2026-04-21 08:56:30,797 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 143)
2026-04-21 08:56:30,806 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 144)
2026-04-21 08:56:30,817 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 145)
2026-04-21 08:56:30,826 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 146)
2026-04-21 08:56:30,837 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 147)
2026-04-21 08:56:30,846 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 148)
2026-04-21 08:56:30,857 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 149)
2026-04-21 08:56:30,867 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 150)
2026-04-21 08:56:30,877 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 151)
2026-04-21 08:56:30,887 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 152)
2026-04-21 08:56:30,897 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 153)
2026-04-21 08:56:30,907 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 154)
2026-04-21 08:56:30,917 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 155)
2026-04-21 08:56:30,927 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 156)
2026-04-21 08:56:30,938 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 157)
2026-04-21 08:56:30,947 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 158)
2026-04-21 08:56:30,957 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 159)
2026-04-21 08:56:30,966 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 160)
2026-04-21 08:56:30,977 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 161)
2026-04-21 08:56:30,987 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 162)
2026-04-21 08:56:30,997 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 163)
2026-04-21 08:56:31,007 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 164)
2026-04-21 08:56:31,017 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 165)
2026-04-21 08:56:31,027 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 166)
2026-04-21 08:56:31,037 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 167)
2026-04-21 08:56:31,047 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 168)
2026-04-21 08:56:31,057 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 169)
2026-04-21 08:56:31,067 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 170)
2026-04-21 08:56:31,077 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 171)
2026-04-21 08:56:31,087 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 172)
2026-04-21 08:56:31,097 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 173)
2026-04-21 08:56:31,107 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 174)
2026-04-21 08:56:31,116 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 175)
2026-04-21 08:56:31,127 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 176)
2026-04-21 08:56:31,137 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 177)
2026-04-21 08:56:31,147 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 178)
2026-04-21 08:56:31,157 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 179)
2026-04-21 08:56:31,168 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 180)
2026-04-21 08:56:31,177 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 181)
2026-04-21 08:56:31,187 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 182)
2026-04-21 08:56:31,196 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 183)
2026-04-21 08:56:31,207 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 184)
2026-04-21 08:56:31,217 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 185)
2026-04-21 08:56:31,227 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 186)
2026-04-21 08:56:31,236 [WARNING] dispatcher.vicon_scanner: Frame has 0 markers, expected >= 3. (insufficient count this attempt: 187)
